"year","ISO_code","countries","ECONOMIC FREEDOM","rank","quartile","1a_government_consumption","1b_transfers","1c_gov_enterprises","1d_top_marg_tax_rate","1_size_government","2a_judicial_independence","2b_impartial_courts","2c_protection_property_rights","2d_military_interference","2e_integrity_legal_system","2f_legal_enforcement_contracts","2g_restrictions_sale_real_property","2h_reliability_police","2i_business_costs_crime","2j_gender_adjustment","2_property_rights","3a_money_growth","3b_std_inflation","3c_inflation","3d_freedom_own_foreign_currency","3_sound_money","4a_tariffs","4b_regulatory_trade_barriers","4c_black_market","4d_control_movement_capital_ppl","4_trade","5a_credit_market_reg","5b_labor_market_reg","5c_business_reg","5_regulation","pib","pib_per_cap","taxa_desemprego"
"2016","GMB","Gambia, The","7.34","49","2","8.323529412","9.57951005","4","8","7.475759865","4.601054588","5.131618579","5.84167401","3.333333333","5.833333333","5.094458646","6.254444922","7.65386502","6.935591698","0.948717949","5.486655889","9.045848707","9.399697273","8.556","10","9.250386495","6.476933333","5.194549431","10","8.237550146","7.477258228","7.171384479","7.948378035","5.915148776","7.011637097","2.09","-0.467","0"
"2016","GEO","Georgia","8.02","7","1","5.252941176","6.882547545","8","10","7.53387218","4.283440113","4.026938677","6.128195127","5.3","","6.797722855","9.981100763","6.965083282","7.029692332","1","6.314021643","8.342321002","8.975868272","9.57302","10","9.222802318","9.293555556","7.597464817","10","7.361525102","8.563136369","9.800843961","7.821111578","7.839425682","8.487127074","2.91","2.722","14"
"2016","DEU","Germany","7.69","20","1","3.858823529","3.064661083","10","5","5.480871153","7.527478537","6.966449023","7.59893179","10","8.333333333","5.828996821","6.814874361","7.23496437","6.643223763","1","7.438694666","8.144176467","9.871175995","9.90334","10","9.479673116","8.266133333","8.008148326","10","5.919488324","8.048442496","8.333333333","7.439249947","8.186735688","7.986439656","2.23","1.408","4.158"
"2016","GHA","Ghana","6.6","98","3","5.441176471","9.63760218","6","7","7.019694663","6.030292512","5.297510425","5.514082113","5","4.166666667","3.716264023","7.073726167","6.449960073","5.558564663","0.975609756","5.356873168","7.115380998","9.27077697","6.50522","5","6.972844492","7.289955556","4.413254401","10","4.274291004","6.49437524","8.396786421","6.63616546","6.420036384","7.150996088","3.45","1.197","0"
"2016","GRC","Greece","6.46","108","3","5.161764706","3.856036481","6","2.5","4.379450297","4.69250838","2.280541062","4.809173743","8.333333333","7.5","4.125037966","8.044201311","5.647686323","6.574106217","1","5.778509815","7.639092607","9.675467098","9.835","5","8.037389926","8.266133333","7.937076354","10","4.512624813","7.678958625","7.901020436","4.970784094","6.432167467","6.434657332","-0.19","0.497","23.55"
"2016","GTM","Guatemala","7.64","23","1","8.735294118","9.878645923","10","9.5","9.52848501","4.251178105","3.132364949","4.98466134","6.666666667","4.166666667","3.389826813","8.330186722","2.99720486","2.561612527","0.948717949","4.382490053","9.260377511","9.859237335","9.11032","10","9.557483712","8.600088889","6.301314946","10","7.874347843","8.19393792","9.626412478","3.989727385","6.034087865","6.55007591","2.68","0.633","0"
"2016","GIN","Guinea","5.93","137","4","9.63864203","","6","4","6.54621401","2.5","2.761600415","5.883838335","0.833333333","4.166666667","5.386550715","6.242903538","1.969697078","4.076923132","0.717948718","3.227979181","9.416952603","8.988583483","8.37404","5","7.944894022","7.4058","3.134835406","6.584022039","3.182432437","5.07677247","10","5.148930432","5.477344873","6.875425102","10.83","8.125","0"
"2016","GNB","Guinea-Bissau","5.25","154","4","7.632352941","","0","6.5","4.710784314","","3.2","","3.333333333","4.166666667","3.298684935","7.284924795","","","0.794871795","3.82013508","6.73491852","7.69989509","9.66114","0","6.023988402","7.4534","4.327838322","10","1.158994874","5.735058299","7.542109783","3.462646795","6.880349079","5.961701886","5.31","3.04","0"
"2016","GUY","Guyana","6.31","119","3","5.273529412","","6","6.5","5.924509804","3.858248442","4.11958665","4.534600612","6.666666667","2.5","4.445418054","7.637462621","2.98569714","4.381482472","0.923076923","4.39414131","9.794409848","8.671484013","9.8524","5","8.329573465","6.4684","3.838338956","10","5.344559395","6.412824588","6.333333333","7.172132189","5.920868633","6.475444718","3.36","2.514","0"
"2016","HTI","Haiti","6.51","104","3","8.805882353","9.916893733","7","8","8.430694021","2.37179478","2.376530568","2.789855003","0","2.5","3.881900279","2.731892463","3.435374102","3.633333445","0.897435897","2.500470609","7.921583117","8.709534666","7.2334","5","7.216129446","7.008","6.224253328","10","6.784086284","7.504084903","8.24","7.939369679","4.479477777","6.886282485","1.45","0.171","0"
"2016","HND","Honduras","7.06","70","2","7.129411765","10","8","9","8.532352941","2.765332858","2.923702797","4.616055488","4.166666667","2.5","2.861203918","7.57826806","2.582917213","2.159978548","0.923076923","3.435269824","8.479689797","9.239409003","9.455508","10","9.2936517","8.413422222","4.830846673","10","5.625966008","7.217558726","9.425145502","5.129003321","5.919401559","6.824516794","3.89","2.099","4.668"
"2016","HKG","Hong Kong","8.97","1","1","7.917647059","9.436171854","7","10","8.588454728","8.520599207","7.498802742","8.629629612","8.333333333","8.333333333","6.129145941","6.949194442","8.869731427","7.984495958","1","7.916473999","9.14559413","9.607262647","9.523","10","9.568964194","9.997777778","8.836084971","10","8.46201321","9.32396899","10","9.372956161","8.946527267","9.439827809","3.89","2.099","4.668"
